landingFacilityType|locationIdentifier|stateCode|cityName|officialFacilityName|elevation|land_area|refPtLatitude|refPtLongitude
HELIPORT|WI96|WI|MANITOWOC|HOLY FAMILY MEMORIAL MEDICAL CENTER|615||44.0953666666667|-87.6755388888889
ULTRALIGHT|3WN7|WI|MANITOWOC|WOODLAND AIRSTRIP|610|20|44.15|-87.6177777777778
AIRPORT|9WI2|WI|MARIBEL|FLYING DOLLAR RANCH|840||44.2874941666667|-87.7959236111111
HELIPORT|4WN6|WI|MARINETTE|BAY AREA MEDICAL CENTER|611|1|45.0684722222222|-87.6474722222222
AIRPORT|5WI4|WI|MARINETTE|LARSON|615||45.0813738888889|-87.6792727777778
AIRPORT|13WI|WI|MARKESAN|NOWATZSKI FIELD|920||43.6984305555556|-89.0045777777778
AIRPORT|WI97|WI|MARSHALL|MATHAIRE FIELD|960|42|43.25777|-89.0648322222222
AIRPORT|MFI|WI|MARSHFIELD|MARSHFIELD MUNI|1277.8|552|44.6368797222222|-90.1893266666667
HELIPORT|WS98|WI|MARSHFIELD|"ST JOSEPH'S HOSPITAL"|1286||44.6761519444444|-90.17732625
HELIPORT|WN02|WI|MAUSTON|MILE BLUFF MEDICAL CENTER|920||43.7823338888889|-90.0758216666667
AIRPORT|MDZ|WI|MEDFORD|TAYLOR COUNTY|1478.1|490|45.1013184722222|-90.3001744166667
HELIPORT|12WI|WI|MEDFORD|ASPIRUS MEDFORD HOSPITAL & CLINICS INC|1435||45.1365888888889|-90.3556972222222
HELIPORT|WS21|WI|MENOMONEE FALLS|COMMUNITY MEMORIAL HOSPITAL|918||43.1642083333333|-88.1392666666667
AIRPORT|LUM|WI|MENOMONIE|MENOMONIE MUNI-SCORE FIELD|895.1|277|44.8923333333333|-91.8678055555555
AIRPORT|WI27|WI|MENOMONIE|SKYPORT|878|5|44.9202408333333|-91.9749
HELIPORT|WN25|WI|MENOMONIE|MAYO CLINIC HEALTH SYSTEM-RED CEDAR|880||44.8837888888889|-91.9008972222222
HELIPORT|WI08|WI|MEQUON|"ST MARY'S HOSPITAL OZAUKEE"|667||43.2553055555556|-87.9262194444444
AIRPORT|2WI5|WI|MERCER|BLAIR LAKE|1625|15|46.0974483333333|-90.1632213888889
AIRPORT|RRL|WI|MERRILL|MERRILL MUNI|1318.2|439|45.1989166666667|-89.7128611111111
AIRPORT|5WI5|WI|MERRILL|HAYMEADOW|1500||45.2749633333333|-89.4917886111111
AIRPORT|WI87|WI|MERRILL|PINE RIVER|1370|53|45.2033333333333|-89.5244444444444
AIRPORT|WS23|WI|MERRILL|R & S LANDING STRIP|1309||45.2161111111111|-89.7472222222222
AIRPORT|WN44|WI|MERRILL|PODEWELTZ|1470||45.2394091666667|-89.5690119444445
AIRPORT|92WI|WI|MERRILL|KNIGHT AIRE|1605|17|45.2961111111111|-89.6411111111111
AIRPORT|WI50|WI|MERRIMAC|LOEBER MCDANIEL FIELD|889||43.3980555555556|-89.6405555555556
AIRPORT|C29|WI|MIDDLETON|MIDDLETON MUNI - MOREY FIELD|928|258|43.1142698888889|-89.5315335833333
AIRPORT|MWC|WI|MILWAUKEE|LAWRENCE J TIMMERMAN|744.8|420|43.1103888888889|-88.0344166666667
HELIPORT|0WI0|WI|MILWAUKEE|"AURORA ST LUKE'S MEDICAL CENTER"|761||42.9889036111111|-87.9514738888889
HELIPORT|WS03|WI|MILWAUKEE|"ST MARY'S HOSPITAL OF MILWAUKEE"|670||43.0609638888889|-87.8805361111111
HELIPORT|23WS|WI|MILWAUKEE|"COLUMBIA ST MARY'S"|895||43.0608333333333|-87.8808333333333
AIRPORT|MKE|WI|MILWAUKEE|GENERAL MITCHELL INTL|728.5|2180|42.9469444444444|-87.8970555555556
AIRPORT|MRJ|WI|MINERAL POINT|IOWA COUNTY|1170.7|244|42.8868888888889|-90.2366666666667
AIRPORT|WI16|WI|MINERAL POINT|JIM BENSON FIELD|1100|5|42.8530527777778|-90.1297222222222
AIRPORT|ARV|WI|MINOCQUA-WOODRUFF|LAKELAND/NOBLE F LEE MEMORIAL FIELD|1629.5|520|45.9279166666667|-89.7309444444444
AIRPORT|WI33|WI|MINONG|BEN SUTHERLAND|1056|20|46.1035544444444|-91.9024061111111
AIRPORT|0WI2|WI|MONCHES|DOERING FARMS AIRFIELD|910||43.2013941666667|-88.3334286111111
AIRPORT|94WI|WI|MONDOVI|THE FARM|850||44.4825|-91.6225
AIRPORT|EFT|WI|MONROE|MONROE MUNI|1085.5|257|42.6149006944444|-89.5904033888889
AIRPORT|63WI|WI|MONROE|FLYING H|1020||42.6658394444444|-89.7376216666667
AIRPORT|WS96|WI|MONROE|HUGHES|1010||42.6208388888889|-89.7673444444444
AIRPORT|WI19|WI|MONTELLO|CACIC|805|6|43.7999777777778|-89.4334544444444
AIRPORT|0WI4|WI|MONTELLO|SNOW CREST RANCH|810||43.8294225|-89.3526197222222
AIRPORT|WI53|WI|MOSINEE|MAGUIRE FIELD|1274||44.79175|-89.8887055555556
AIRPORT|9WI3|WI|MORRISON|BUCHHOLZ FARM|955||44.2855480555556|-87.9867647222222
AIRPORT|WN85|WI|MORRISONVILLE|MORRISONVILLE INTL|960|140|43.2747126666667|-89.3503946111111
AIRPORT|CWA|WI|MOSINEE|CENTRAL WISCONSIN|1277.2|1800|44.7776236666667|-89.6667780277778
AIRPORT|WS16|WI|MOSINEE|SCHERRICO MEADOWS|1345|5|44.8471891666667|-89.8015138888889
AIRPORT|56WI|WI|MOSINEE|JAKS FIELD|1190|50|44.7734388888889|-89.5937305555556
SEAPLANE BASE|WS82|WI|MOUNTAIN|JOHNSON ISLAND|870|4|45.1266666666667|-88.4433333333333
AIRPORT|37WI|WI|MOUNT HOREB|DOCKEN FIELD|1230||42.9911083333333|-89.7534561111111
AIRPORT|WI24|WI|MT HOREB|CARDINAL RIDGE|1080|80|42.8811111111111|-89.7522222222222
HELIPORT|50WI|WI|MOUNT PLEASANT|S C JOHNSON WAXDALE|679||42.7113888888889|-87.8838888888889
AIRPORT|2WI7|WI|MOUNT VERNON|"HECKLERS' STRIP"|1130|20|42.9697202777778|-89.6654
AIRPORT|DAF|WI|NECEDAH|NECEDAH|919.3|93|44.0334444444444|-90.0851111111111
AIRPORT|2WN5|WI|NECEDAH|MURMURING SPRINGS|910||44.0063555555556|-90.0192388888889
AIRPORT|67WI|WI|NECEDAH|ACCURATE|890||43.9710791666667|-89.9970722222222
HELIPORT|WS35|WI|NEENAH|THEDA CLARK RGNL MEDICAL CENTER|751||44.1862285277778|-88.4545128055556
AIRPORT|79C|WI|NEENAH|BRENNAND|850|25|44.1599841666667|-88.5595547222222
AIRPORT|0WI7|WI|NEENAH|WITH WINGS AND A HALO|760|40|44.1335961111111|-88.4992777777778
AIRPORT|VIQ|WI|NEILLSVILLE|NEILLSVILLE MUNI|1237.5|169|44.5581111111111|-90.51225
AIRPORT|91WI|WI|NEKOOSA|GOTTSCHALK FIELD|976||44.2938519444444|-90.0320744444444
AIRPORT|55WI|WI|NEKOOSA|CRANMOOR AIRSTRIP|985|18|44.3180186111111|-89.9687397222222
AIRPORT|WI12|WI|NESHKORO|WOOD TICK STRIP|840||44.0168166666667|-89.2025166666667
AIRPORT|73WI|WI|NEW AUBURN|VETTERKIND STRIP|1080||45.2405172222222|-91.5087733333333
AIRPORT|9WI4|WI|NEW BERLIN|FAKEN|904||42.9786244444444|-88.1348119444444
AIRPORT|8D1|WI|NEW HOLSTEIN|NEW HOLSTEIN MUNI|992.2|267|43.9441045833333|-88.1148416944445
AIRPORT|82C|WI|NEW LISBON|MAUSTON-NEW LISBON UNION|907.9|248|43.8387667222222|-90.1377335555556
ULTRALIGHT|3WN4|WI|NEW LONDON|"MARK'S PARK & AIRFIELD"|855|53|44.3069444444444|-88.7711111111111
AIRPORT|WS76|WI|NEW LONDON|BLACK DOG FARM|898|48|44.470675|-88.8245472222222
AIRPORT|2WN3|WI|NEW LONDON|CURNS|790||44.3578733333333|-88.7613833333333
AIRPORT|RNH|WI|NEW RICHMOND|NEW RICHMOND RGNL|997.9|424|45.1477777777778|-92.5391666666667
HELIPORT|WI71|WI|NEW RICHMOND|"MEISTER'S"|931||45.199132|-92.573872
SEAPLANE BASE|WI35|WI|NEW RICHMOND|CEDER LAKE|917||45.2157983333333|-92.5727
HELIPORT|14WI|WI|NEW RICHMOND|CYLON|1071|1|45.1369444444444|-92.3766666666667
HELIPORT|46WI|WI|NEW RICHMOND|WESTFIELDS HOSPITAL|996|40|45.1177527777778|-92.5541861111111
AIRPORT|84C|WI|NORTH CAPE|VALHALLA|805|70|42.7625177777778|-88.0425844444444
ULTRALIGHT|0WN5|WI|NORTH CAPE|POTTS FIELD|815|15|42.7997388888889|-88.0486944444444
HELIPORT|WI39|WI|OCONOMOWOC|AURORA SUMMIT MEDICAL CENTER|884||43.0669444444444|-88.4672222222222
AIRPORT|0WI8|WI|OCONOMOWOC|OCONOMOWOC|885||43.1388947222222|-88.4723205555556
AIRPORT|OCQ|WI|OCONTO|OCONTO-J DOUGLAS BAKE MUNI|604.4|238|44.8740555833333|-87.9097705
SEAPLANE BASE|30W|WI|OCONTO|SWEETWATER BAY|579||44.9519330555556|-87.8084366666667
HELIPORT|22WI|WI|OCONTO FALLS|HSHS ST CLARE MEMORIAL HOSPITAL|720||44.8653805555556|-88.1286638888889
AIRPORT|WI37|WI|OJIBWA|RAINBOW|1321|15|45.8082938888889|-91.0962738888889
AIRPORT|64WI|WI|OMRO|SKY DIVING|760||44.0413711111111|-88.7001111111111
AIRPORT|2WI8|WI|OOSTBURG|DAVIES|645||43.5974972222222|-87.7789763888889
AIRPORT|0WI9|WI|OREGON|MC MANUS HOONCH-NA-SHEE-KAW|931||42.9313894444444|-89.3387291666667
AIRPORT|15WI|WI|OREGON|PETERSON FIELD|978||42.9275|-89.418175
